"phecode","phenotype","phecode_exclude_range","sex","rollup","leaf","category_number","category"
"008","Intestinal infection","001-009.99","",1,0,1,"infectious diseases"
"008.5","Bacterial enteritis","001-009.99","Both",1,0,1,"infectious diseases"
"008.51","Intestinal e.coli","001-009.99","Both",1,1,1,"infectious diseases"
"008.52","Intestinal infection due to C. difficile","001-009.99","Both",1,1,1,"infectious diseases"
"008.6","Viral Enteritis","001-009.99","Both",1,1,1,"infectious diseases"
"008.7","Intestinal infection due to protozoa","001-009.99","Both",1,1,1,"infectious diseases"
"010","Tuberculosis","010-041.99","",1,1,1,"infectious diseases"
"031","Diseases due to other mycobacteria","010-041.99","",1,0,1,"infectious diseases"
"031.1","Leprosy","010-041.99","Both",1,1,1,"infectious diseases"
"038","Septicemia","010-041.99","",1,0,1,"infectious diseases"
"038.1","Gram negative septicemia","010-041.99","Both",1,1,1,"infectious diseases"
"038.2","Gram positive septicemia","010-041.99","Both",1,1,1,"infectious diseases"
"038.3","Bacteremia","010-041.99","Both",1,1,1,"infectious diseases"
"041","Bacterial infection NOS","010-041.99","",1,0,1,"infectious diseases"
"041.1","Staphylococcus infections","010-041.99","Both",1,0,1,"infectious diseases"
"041.11","Methicillin sensitive Staphylococcus aureus","010-041.99","Both",1,1,1,"infectious diseases"
"041.12","Methicillin resistant Staphylococcus aureus","010-041.99","Both",1,1,1,"infectious diseases"
"041.2","Streptococcus infection","010-041.99","Both",1,0,1,"infectious diseases"
"041.21","Rheumatic fever / chorea","010-041.99","Both",1,1,1,"infectious diseases"
"041.4","E. coli","010-041.99","Both",1,1,1,"infectious diseases"
"041.8","H. pylori","010-041.99","Both",1,1,1,"infectious diseases"
"041.9","Infection with drug-resistant microorganisms","010-041.99","Both",1,1,1,"infectious diseases"
"053","Herpes zoster","050-079.99","",1,0,1,"infectious diseases"
"053.1","Herpes zoster with nervous system complications","050-079.99","Both",1,1,1,"infectious diseases"
"054","Herpes simplex","050-079.99","",1,1,1,"infectious diseases"
"070","Viral hepatitis","050-079.99","Both",1,0,1,"infectious diseases"
"070.1","Viral hepatitis A","050-079.99","Both",1,1,1,"infectious diseases"
"070.2","Viral hepatitis B","050-079.99","Both",1,1,1,"infectious diseases"
"070.3","Viral hepatitis C","050-079.99","Both",1,1,1,"infectious diseases"
"070.4","Chronic hepatitis","050-079.99","Both",0,1,1,"infectious diseases"
"070.9","Hepatitis NOS","050-079.99","Both",0,1,1,"infectious diseases"
"071","Human immunodeficiency virus [HIV] disease","050-079.99","",1,0,1,"infectious diseases"
"071.1","HIV infection, symptomatic","050-079.99","Both",1,1,1,"infectious diseases"
"078","Viral warts & HPV","050-079.99","",1,1,1,"infectious diseases"
"079","Viral infection","050-079.99","",1,0,1,"infectious diseases"
"079.1","Varicella infection","050-079.99","Both",1,1,1,"infectious diseases"
"079.2","Infectious mononucleosis","050-079.99","Both",1,1,1,"infectious diseases"
"079.9","Viremia, NOS","050-079.99","Both",1,1,1,"infectious diseases"
"080","Postoperative infection","080-082.99","",1,1,1,"infectious diseases"
"081","Infection/inflammation of internal prosthetic device; implant; and graft","080-082.99","",1,0,1,"infectious diseases"
"081.1","Graft-versus-host disease","080-082.99","Both",1,0,1,"infectious diseases"
"081.11","Acute graft-versus-host disease","080-082.99","Both",1,1,1,"infectious diseases"
"081.12","Chronic graft-versus-host disease","080-082.99","Both",1,1,1,"infectious diseases"
"090","Sexually transmitted infections (not HIV or hepatitis)","090-092.99","",1,0,1,"infectious diseases"
"090.2","Gonococcal infections","090-092.99","Both",1,1,1,"infectious diseases"
"090.3","Venereal diseases due to Chlamydia trachomatis","090-092.99","Both",1,1,1,"infectious diseases"
"1000","Burns","","Both",1,0,0,NULL
"1001","Foreign body injury","","Both",1,0,0,NULL
"1002","Symptoms concerning nutrition, metabolism, and development","","Both",1,0,0,NULL
"1003","Sudden death","","Both",1,0,0,NULL
"1004","Other signs and symptoms involving emotional state","","Both",1,0,0,NULL
"1005","Other symptoms","","Both",1,0,0,NULL
"1006","Crushing injury","","Both",1,0,0,NULL
"1007","Injury to blood vessels","","Both",1,0,0,NULL
"1008","Crushing or internal injury to organs","","Both",1,0,0,NULL
"1009","Injury, NOS","","",1,0,0,NULL
"1010","Other tests","","Both",1,0,0,NULL
